Product Name,Color,Product URL,Unique Color ID, Scraped Available Sizes,Swatch Image URL,Scraped Image URL
Short buttoned dress,Ecru,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-buttoned-dress_77034029?c=05,E3R21, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77034029_05_B.jpg?ts=1717689855409&im=SmartCrop,width=320,height=448&imdensity=1
Cardigan with contrasting trims,Ecru,https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/cardigans/cardigan-with-contrasting-trims_77052918?c=05,E3R21, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77052918_05_C.png?imwidth=10&imdensity=1&ts=1715009717430, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77052918_05_B.jpg?ts=1715009717430&im=SmartCrop,width=320,height=448&imdensity=1
Cardigan with contrasting trims,Dark Navy,https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/cardigans/cardigan-with-contrasting-trims_77052918?c=56,D1R11N1V25, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77052918_56_C.png?imwidth=10&imdensity=1&ts=1715006126076, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77052918_56_B.jpg?ts=1715006126076&im=SmartCrop,width=320,height=448&imdensity=1
Striped cardigan with jewel buttons,Off White,https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/cardigans/striped-cardigan-with-jewel-buttons_67064024?c=02,O6F23H9T5, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67064024_02_B.jpg?ts=1698676376519&im=SmartCrop,width=320,height=448&imdensity=1
High-rise denim shorts,Medium Blue,https://shop.mango.com/us/en/p/women/pants/shorts/high-rise-denim-shorts_77090570?c=TM,M5D9U13B12U5, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77090570_TM_C.png?imwidth=10&imdensity=1&ts=1712049031476, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77090570_TM_B.jpg?ts=1712049031476&im=SmartCrop,width=320,height=448&imdensity=1
Catherin high-rise culotte jeans,White,https://shop.mango.com/us/en/p/women/jeans/wideleg/catherin-high-rise-culotte-jeans_77010361?c=01,W8I20E, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77010361_01_C.png?imwidth=10&imdensity=1&ts=1713792911177, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77010361_01_B.jpg?ts=1713792911177&im=SmartCrop,width=320,height=448&imdensity=1
Asymmetrical pleated dress,Red,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/asymmetrical-pleated-dress_67016340?c=70,R5D, , https://shop.mango.com/assets/rcs/pics/static/T6/colv3/67016340_70_C.png?imwidth=10&imdensity=1&ts=1706261699916, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67016340_70_B.jpg?ts=1706261699916&im=SmartCrop,width=320,height=448&imdensity=1
Dress with straps and lace detail,Black,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/dress-with-straps-and-lace-detail_77080360?c=99,B12A3K, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77080360_99_B.jpg?ts=1713891879501&im=SmartCrop,width=320,height=448&imdensity=1
Lyocell dress with belt,Charcoal,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/lyocell-dress-with-belt_77013273?c=95,C8A18C15A12, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77013273_95_C.png?imwidth=10&imdensity=1&ts=1716801065801, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77013273_95_B.jpg?ts=1716799002888&im=SmartCrop,width=320,height=448&imdensity=1
Lyocell dress with belt,Sand,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/lyocell-dress-with-belt_77013273?c=07,S1N4, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77013273_07_C.png?imwidth=10&imdensity=1&ts=1716801065801, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77013273_07_B.jpg?ts=1716799002888&im=SmartCrop,width=320,height=448&imdensity=1
High-rise denim shorts,Light Blue,https://shop.mango.com/us/en/p/women/pants/shorts/high-rise-denim-shorts_77070326?c=TC,L9G8T2L21E, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77070326_TC_C.png?imwidth=10&imdensity=1&ts=1713375284567, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77070326_TC_B.jpg?ts=1713375284567&im=SmartCrop,width=320,height=448&imdensity=1
Linen dress with buckle straps,Sand,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/linen-dress-with-buckle-straps_67038647?c=07,S1N4, , null, null
Lyocell shirt dress with bow,Blue,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/lyocell-shirt-dress-with-bow_77014037?c=52,B12U5, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77014037_52_B.jpg?ts=1718184947147&im=SmartCrop,width=320,height=448&imdensity=1
Slit denim skirt,Medium Blue,https://shop.mango.com/us/en/p/women/skirts/midi/slit-denim-skirt_77010372?c=TM,M5D9U13B12U5, , null, null
Floral-print dress with bow,Blue,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/floral-print-dress-with-bow_77032924?c=52,B12U5, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77032924_52_C.png?imwidth=10&imdensity=1&ts=1715943833117, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77032924_52_B.jpg?ts=1715943833117&im=SmartCrop,width=320,height=448&imdensity=1
Linen vest with buttons,White,https://shop.mango.com/us/en/p/women/vests/linen-vest-with-buttons_67069229?c=01,W8I20E, , null, null
Capri leggings,Black,https://shop.mango.com/us/en/p/women/pants/leggings/capri-leggings_77060371?c=99,B12A3K, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77060371_99_B.jpg?ts=1713792911177&im=SmartCrop,width=320,height=448&imdensity=1
Buckle heel shoes,Blue,https://shop.mango.com/us/en/p/women/shoes/heeled-shoes/buckle-heel-shoes_77010291?c=52,B12U5, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77010291_52_C.png?imwidth=10&imdensity=1&ts=1712311946166, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77010291_52_B.jpg?ts=1712311946166&im=SmartCrop,width=320,height=448&imdensity=1
Crochet vest with buttons,Ecru,https://shop.mango.com/us/en/p/women/jackets/crochet-vest-with-buttons_77072005?c=05,E3R21, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77072005_05_C.png?imwidth=10&imdensity=1&ts=1718804068443, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77072005_05_B.jpg?ts=1718804068443&im=SmartCrop,width=320,height=448&imdensity=1
Crochet-knit cardigan,Off White,https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/cardigans/crochet-knit-cardigan_77070337?c=02,O6F23H9T5, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77070337_02_B.jpg?ts=1712157020218&im=SmartCrop,width=320,height=448&imdensity=1
Long strap jumpsuit,Blue,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-strap-jumpsuit_77063265?c=52,B12U5, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77063265_52_B.jpg?ts=1714055706486&im=SmartCrop,width=320,height=448&imdensity=1
100% linen suit blazer,Sky Blue,https://shop.mango.com/us/en/p/women/blazers/plus-sizes/100-linen-suit-blazer_67077112?c=50,S11Y2L21E, , https://shop.mango.com/assets/rcs/pics/static/T6/colv3/67077112_50_C.png?imwidth=10&imdensity=1&ts=1705483783203, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67077112_50_B.jpg?ts=1705483783203&im=SmartCrop,width=320,height=448&imdensity=1
Printed strap dress,Ecru,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-strap-dress_77010387?c=05,E3R21, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77010387_05_B.jpg?ts=1714466069958&im=SmartCrop,width=320,height=448&imdensity=1
Natural fiber shoulder bag,Beige,https://shop.mango.com/us/en/p/women/bags/shoulder-bags/natural-fiber-shoulder-bag_77050365?c=08,B5I7E, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77050365_08_B.jpg?ts=1715263486833&im=SmartCrop,width=320,height=448&imdensity=1
Asymmetrical floral dress,Black,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/asymmetrical-floral-dress_67055756?c=99,B12A3K, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67055756_99_B.jpg?ts=1707411803734&im=SmartCrop,width=320,height=448&imdensity=1
High-rise denim shorts,Black denim,https://shop.mango.com/us/en/p/women/pants/shorts/high-rise-denim-shorts_77060571?c=TN,B12A3K4E14I13, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77060571_TN_C.png?imwidth=10&imdensity=1&ts=1713375284567, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77060571_TN_B.jpg?ts=1713375284567&im=SmartCrop,width=320,height=448&imdensity=1
Vinyl wedge sandals,Nude,https://shop.mango.com/us/en/p/women/shoes/vinyl-wedge-sandals_67097698?c=80,N21D5, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67097698_80_B.jpg?ts=1707235400584&im=SmartCrop,width=320,height=448&imdensity=1
Check cotton shirt,Blue,https://shop.mango.com/us/en/p/women/shirts/shirts/check-cotton-shirt_77093262?c=52,B12U5, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77093262_52_C.png?imwidth=10&imdensity=1&ts=1714640683463, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77093262_52_B.jpg?ts=1714640683463&im=SmartCrop,width=320,height=448&imdensity=1
Short strap dress,Blue,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-strap-dress_77052926?c=52,B12U5, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77052926_52_B.jpg?ts=1717601572810&im=SmartCrop,width=320,height=448&imdensity=1
Striped openwork cardigan,Red,https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/cardigans/striped-openwork-cardigan_77092923?c=70,R5D, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77092923_70_B.jpg?ts=1713792911177&im=SmartCrop,width=320,height=448&imdensity=1
Crochet short dress,Pastel Green,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/crochet-short-dress_77000384?c=40,P1S20E12G18E5, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77000384_40_B.jpg?ts=1714055706486&im=SmartCrop,width=320,height=448&imdensity=1
Buckle heel shoes,Nude,https://shop.mango.com/us/en/p/women/shoes/heeled-shoes/buckle-heel-shoes_77040290?c=80,N21D5, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77040290_80_C.png?imwidth=10&imdensity=1&ts=1715677466545, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77040290_80_B.jpg?ts=1715615071794&im=SmartCrop,width=320,height=448&imdensity=1
Floral-print dress with bow,Ecru,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/floral-print-dress-with-bow_77032924?c=05,E3R21, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77032924_05_C.png?imwidth=10&imdensity=1&ts=1715875439142, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77032924_05_B.jpg?ts=1715875439142&im=SmartCrop,width=320,height=448&imdensity=1
Belt short jumpsuit,Off White,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/belt-short-jumpsuit_77082005?c=02,O6F23H9T5, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77082005_02_B.jpg?ts=1713371073822&im=SmartCrop,width=320,height=448&imdensity=1
100% linen suit blazer,Ecru,https://shop.mango.com/us/en/p/women/blazers/plus-sizes/100-linen-suit-blazer_67077112?c=05,E3R21, , https://shop.mango.com/assets/rcs/pics/static/T6/colv3/67077112_05_C.png?imwidth=10&imdensity=1&ts=1704963814075, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67077112_05_B.jpg?ts=1704963814075&im=SmartCrop,width=320,height=448&imdensity=1
Crochet lurex cape,Black,https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/sweaters/crochet-lurex-cape_77080346?c=99,B12A3K, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77080346_99_B.jpg?ts=1716547057925&im=SmartCrop,width=320,height=448&imdensity=1
Asymmetrical dress with seam detail,Red,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/asymmetrical-dress-with-seam-detail_67066343?c=70,R5D, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67066343_70_B.jpg?ts=1709903645822&im=SmartCrop,width=320,height=448&imdensity=1
Buttons linen-blend jacket,Ecru,https://shop.mango.com/us/en/p/women/jackets/buttons-linen-blend-jacket_77040331?c=05,E3R21, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77040331_05_B.jpg?ts=1713970154829&im=SmartCrop,width=320,height=448&imdensity=1
Printed linen-blend skirt,Beige,https://shop.mango.com/us/en/p/women/skirts/long/printed-linen-blend-skirt_67099228?c=08,B5I7E, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67099228_08_B.jpg?ts=1712049031476&im=SmartCrop,width=320,height=448&imdensity=1
Fine-knit turtleneck sweater,Medium Brown,https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/sweaters/fine-knit-turtleneck-sweater_67000469?c=09,M5D9U13B18O23, , https://shop.mango.com/assets/rcs/pics/static/T6/colv3/67000469_09_C.png?imwidth=10&imdensity=1&ts=1696926774943, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67000469_09_B.jpg?ts=1696926774943&im=SmartCrop,width=320,height=448&imdensity=1
Polka-dot pleated pants,Black,https://shop.mango.com/us/en/p/women/pants/party/polka-dot-pleated-pants_67066341?c=99,B12A3K, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67066341_99_B.jpg?ts=1706877211072&im=SmartCrop,width=320,height=448&imdensity=1
Parachute skirt with side zipper,Dark Navy,https://shop.mango.com/us/en/p/women/skirts/long/parachute-skirt-with-side-zipper_67057910?c=69,D1R11N1V25, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67057910_69_B.jpg?ts=1709894219784&im=SmartCrop,width=320,height=448&imdensity=1
Blanca straight-fit cropped jeans,White,https://shop.mango.com/us/en/p/women/jeans/straight/blanca-straight-fit-cropped-jeans_77050588?c=01,W8I20E, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77050588_01_C.png?imwidth=10&imdensity=1&ts=1713971069724, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77050588_01_B.jpg?ts=1713970154829&im=SmartCrop,width=320,height=448&imdensity=1
Short-sleeved lyocell shirt,Green,https://shop.mango.com/us/en/p/women/shirts/shirts/short-sleeved-lyocell-shirt_77014034?c=43,G18E5N, , https://shop.mango.com/assets/rcs/col_nrf_v3/300.png?imwidth=10&imdensity=1&ts=1, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77014034_43_B.jpg?ts=1718094449892&im=SmartCrop,width=320,height=448&imdensity=1
Natural fiber sack bag,Leather,https://shop.mango.com/us/en/p/women/bags/shoulder-bags/natural-fiber-sack-bag_67046315?c=CU,L5A20H5R, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67046315_CU_B.jpg?ts=1712838893937&im=SmartCrop,width=320,height=448&imdensity=1
